date,country,type,year,month,demand,source,country_contributions
2017-06-01,HU,total,2017,6,432.0,eurostat,
2017-06-01,IE,total,2017,6,388.0,eurostat,
2017-06-01,IT,total,2017,6,4358.0,eurostat,
2017-06-01,LT,total,2017,6,120.0,eurostat,
2017-06-01,LU,total,2017,6,40.0,eurostat,
2017-06-01,LV,total,2017,6,52.0,eurostat,
2017-06-01,MT,total,2017,6,30.0,eurostat,
2017-06-01,NL,total,2017,6,2258.0,eurostat,
2017-06-01,PL,total,2017,6,1143.0,eurostat,
2017-06-01,PT,total,2017,6,546.0,eurostat,
2017-06-01,RO,total,2017,6,751.0,eurostat,
2017-06-01,SE,total,2017,6,41.0,eurostat,
2017-06-01,SI,total,2017,6,48.0,eurostat,
2017-06-01,SK,total,2017,6,196.0,eurostat,
2017-07-01,AT,total,2017,7,432.0,eurostat,
2017-07-01,BE,total,2017,7,888.4,eurostat,
