country,date,demand,type,source
HU,2017-02-01,1234.0,total,eurostat
IE,2017-02-01,418.0,total,eurostat
IT,2017-02-01,8078.0,total,eurostat
LT,2017-02-01,243.0,total,eurostat
LU,2017-02-01,84.0,total,eurostat
LV,2017-02-01,176.0,total,eurostat
MT,2017-02-01,9.0,total,eurostat
NL,2017-02-01,4536.0,total,eurostat
PL,2017-02-01,2075.0,total,eurostat
PT,2017-02-01,488.0,total,eurostat
RO,2017-02-01,1394.0,total,eurostat
SE,2017-02-01,83.0,total,eurostat
SI,2017-02-01,97.0,total,eurostat
SK,2017-02-01,594.0,total,eurostat
AT,2017-03-01,861.0,total,eurostat
BE,2017-03-01,1638.9,total,eurostat
BG,2017-03-01,315.0,total,eurostat
CY,2017-03-01,0.0,total,eurostat
CZ,2017-03-01,827.0,total,eurostat
DE,2017-03-01,8176.0,total,eurostat
DK,2017-03-01,346.0,total,eurostat
EE,2017-03-01,58.0,total,eurostat
ES,2017-03-01,2602.0,total,eurostat
EU27_2020,2017-03-01,36573.9,total,eurostat
FI,2017-03-01,244.0,total,eurostat
FR,2017-03-01,4208.0,total,eurostat
GR,2017-03-01,328.0,total,eurostat
HR,2017-03-01,248.0,total,eurostat
HU,2017-03-01,895.0,total,eurostat
IE,2017-03-01,460.0,total,eurostat
IT,2017-03-01,6491.0,total,eurostat
LT,2017-03-01,219.0,total,eurostat
LU,2017-03-01,76.0,total,eurostat
LV,2017-03-01,128.0,total,eurostat
MT,2017-03-01,10.0,total,eurostat
NL,2017-03-01,3976.0,total,eurostat
PL,2017-03-01,1896.0,total,eurostat
PT,2017-03-01,497.0,total,eurostat
RO,2017-03-01,1113.0,total,eurostat
SE,2017-03-01,410.0,total,eurostat
SI,2017-03-01,83.0,total,eurostat
SK,2017-03-01,468.0,total,eurostat
AT,2017-04-01,708.0,total,eurostat
BE,2017-04-01,1477.6,total,eurostat
BG,2017-04-01,261.0,total,eurostat
CY,2017-04-01,0.0,total,eurostat
CZ,2017-04-01,701.0,total,eurostat
DE,2017-04-01,7677.0,total,eurostat
DK,2017-04-01,268.0,total,eurostat
EE,2017-04-01,44.0,total,eurostat
ES,2017-04-01,2110.0,total,eurostat
EU27_2020,2017-04-01,30512.6,total,eurostat
FI,2017-04-01,185.0,total,eurostat
FR,2017-04-01,3114.0,total,eurostat
GR,2017-04-01,286.0,total,eurostat
HR,2017-04-01,208.0,total,eurostat
HU,2017-04-01,756.0,total,eurostat
IE,2017-04-01,447.0,total,eurostat
IT,2017-04-01,4835.0,total,eurostat
LT,2017-04-01,217.0,total,eurostat
LU,2017-04-01,63.0,total,eurostat
LV,2017-04-01,104.0,total,eurostat
MT,2017-04-01,19.0,total,eurostat
NL,2017-04-01,3469.0,total,eurostat
PL,2017-04-01,1708.0,total,eurostat
PT,2017-04-01,465.0,total,eurostat
RO,2017-04-01,886.0,total,eurostat
SE,2017-04-01,52.0,total,eurostat
SI,2017-04-01,65.0,total,eurostat
SK,2017-04-01,387.0,total,eurostat
AT,2017-05-01,496.0,total,eurostat
BE,2017-05-01,1119.0,total,eurostat
BG,2017-05-01,220.0,total,eurostat
CY,2017-05-01,0.0,total,eurostat
CZ,2017-05-01,443.0,total,eurostat
DE,2017-05-01,6099.0,total,eurostat
DK,2017-05-01,190.0,total,eurostat
EE,2017-05-01,29.0,total,eurostat
ES,2017-05-01,2081.0,total,eurostat
EU27_2020,2017-05-01,24884.0,total,eurostat
FI,2017-05-01,148.0,total,eurostat
FR,2017-05-01,2268.0,total,eurostat
GR,2017-05-01,317.0,total,eurostat
HR,2017-05-01,178.0,total,eurostat
HU,2017-05-01,492.0,total,eurostat
IE,2017-05-01,400.0,total,eurostat
IT,2017-05-01,4510.0,total,eurostat
LT,2017-05-01,146.0,total,eurostat
LU,2017-05-01,48.0,total,eurostat
LV,2017-05-01,60.0,total,eurostat
MT,2017-05-01,21.0,total,eurostat
NL,2017-05-01,2730.0,total,eurostat
PL,2017-05-01,1348.0,total,eurostat
PT,2017-05-01,493.0,total,eurostat
RO,2017-05-01,692.0,total,eurostat
SE,2017-05-01,48.0,total,eurostat
SI,2017-05-01,54.0,total,eurostat
SK,2017-05-01,254.0,total,eurostat
AT,2017-06-01,450.0,total,eurostat
BE,2017-06-01,896.3,total,eurostat
BG,2017-06-01,213.0,total,eurostat
CY,2017-06-01,0.0,total,eurostat
CZ,2017-06-01,360.0,total,eurostat
DE,2017-06-01,4917.0,total,eurostat
DK,2017-06-01,155.0,total,eurostat
EE,2017-06-01,17.0,total,eurostat
ES,2017-06-01,2220.0,total,eurostat
EU27_2020,2017-06-01,21951.3,total,eurostat
FI,2017-06-01,128.0,total,eurostat
FR,2017-06-01,1640.0,total,eurostat
GR,2017-06-01,393.0,total,eurostat
HR,2017-06-01,159.0,total,eurostat
HU,2017-06-01,432.0,total,eurostat
IE,2017-06-01,388.0,total,eurostat
IT,2017-06-01,4358.0,total,eurostat
LT,2017-06-01,120.0,total,eurostat
LU,2017-06-01,40.0,total,eurostat
LV,2017-06-01,52.0,total,eurostat
MT,2017-06-01,30.0,total,eurostat
NL,2017-06-01,2258.0,total,eurostat
PL,2017-06-01,1143.0,total,eurostat
PT,2017-06-01,546.0,total,eurostat
RO,2017-06-01,751.0,total,eurostat
SE,2017-06-01,41.0,total,eurostat
SI,2017-06-01,48.0,total,eurostat
SK,2017-06-01,196.0,total,eurostat
AT,2017-07-01,432.0,total,eurostat
BE,2017-07-01,888.4,total,eurostat
BG,2017-07-01,177.0,total,eurostat
CY,2017-07-01,0.0,total,eurostat
CZ,2017-07-01,355.0,total,eurostat
DE,2017-07-01,5434.0,total,eurostat
DK,2017-07-01,137.0,total,eurostat
EE,2017-07-01,18.0,total,eurostat
ES,2017-07-01,2380.0,total,eurostat
EU27_2020,2017-07-01,23142.4,total,eurostat
FI,2017-07-01,128.0,total,eurostat
FR,2017-07-01,1712.0,total,eurostat
GR,2017-07-01,406.0,total,eurostat
HR,2017-07-01,193.0,total,eurostat
HU,2017-07-01,435.0,total,eurostat
IE,2017-07-01,422.0,total,eurostat
IT,2017-07-01,4565.0,total,eurostat
LT,2017-07-01,122.0,total,eurostat
LU,2017-07-01,40.0,total,eurostat
LV,2017-07-01,49.0,total,eurostat
MT,2017-07-01,35.0,total,eurostat
NL,2017-07-01,2454.0,total,eurostat
PL,2017-07-01,1212.0,total,eurostat
PT,2017-07-01,599.0,total,eurostat
RO,2017-07-01,661.0,total,eurostat
SE,2017-07-01,36.0,total,eurostat
SI,2017-07-01,48.0,total,eurostat
SK,2017-07-01,204.0,total,eurostat
AT,2017-08-01,457.0,total,eurostat
BE,2017-08-01,880.9,total,eurostat
BG,2017-08-01,167.0,total,eurostat
CY,2017-08-01,0.0,total,eurostat
CZ,2017-08-01,701.0,total,eurostat
DE,2017-08-01,4565.0,total,eurostat
DK,2017-08-01,156.0,total,eurostat
EE,2017-08-01,19.0,total,eurostat
ES,2017-08-01,2198.0,total,eurostat
EU27_2020,2017-08-01,21633.9,total,eurostat
FI,2017-08-01,143.0,total,eurostat
FR,2017-08-01,1543.0,total,eurostat
GR,2017-08-01,423.0,total,eurostat
HR,2017-08-01,195.0,total,eurostat
HU,2017-08-01,443.0,total,eurostat
IE,2017-08-01,418.0,total,eurostat
IT,2017-08-01,3972.0,total,eurostat
LT,2017-08-01,128.0,total,eurostat
LU,2017-08-01,35.0,total,eurostat
LV,2017-08-01,52.0,total,eurostat
MT,2017-08-01,36.0,total,eurostat
NL,2017-08-01,2308.0,total,eurostat
PL,2017-08-01,1203.0,total,eurostat
PT,2017-08-01,600.0,total,eurostat
RO,2017-08-01,691.0,total,eurostat
SE,2017-08-01,46.0,total,eurostat
SI,2017-08-01,48.0,total,eurostat
SK,2017-08-01,206.0,total,eurostat
AT,2017-09-01,560.0,total,eurostat
BE,2017-09-01,1044.3,total,eurostat
BG,2017-09-01,186.0,total,eurostat
CY,2017-09-01,0.0,total,eurostat
CZ,2017-09-01,476.0,total,eurostat
DE,2017-09-01,5632.0,total,eurostat
DK,2017-09-01,183.0,total,eurostat
EE,2017-09-01,23.0,total,eurostat
ES,2017-09-01,2287.0,total,eurostat
EU27_2020,2017-09-01,24607.3,total,eurostat
FI,2017-09-01,142.0,total,eurostat
FR,2017-09-01,2220.0,total,eurostat
GR,2017-09-01,372.0,total,eurostat
HR,2017-09-01,200.0,total,eurostat
HU,2017-09-01,520.0,total,eurostat
IE,2017-09-01,397.0,total,eurostat
IT,2017-09-01,4327.0,total,eurostat
LT,2017-09-01,161.0,total,eurostat
LU,2017-09-01,49.0,total,eurostat
LV,2017-09-01,57.0,total,eurostat
MT,2017-09-01,42.0,total,eurostat
NL,2017-09-01,2799.0,total,eurostat
PL,2017-09-01,1322.0,total,eurostat
PT,2017-09-01,541.0,total,eurostat
RO,2017-09-01,712.0,total,eurostat
SE,2017-09-01,48.0,total,eurostat
SI,2017-09-01,57.0,total,eurostat
SK,2017-09-01,250.0,total,eurostat
AT,2017-10-01,739.0,total,eurostat
BE,2017-10-01,1366.6,total,eurostat
BG,2017-10-01,248.0,total,eurostat
CY,2017-10-01,0.0,total,eurostat
CZ,2017-10-01,667.0,total,eurostat
DE,2017-10-01,6691.0,total,eurostat
DK,2017-10-01,217.0,total,eurostat
EE,2017-10-01,44.0,total,eurostat
ES,2017-10-01,2542.0,total,eurostat
EU27_2020,2017-10-01,30286.6,total,eurostat
FI,2017-10-01,166.0,total,eurostat
FR,2017-10-01,3160.0,total,eurostat
GR,2017-10-01,362.0,total,eurostat
HR,2017-10-01,269.0,total,eurostat
HU,2017-10-01,802.0,total,eurostat
IE,2017-10-01,423.0,total,eurostat
IT,2017-10-01,5237.0,total,eurostat
LT,2017-10-01,206.0,total,eurostat
LU,2017-10-01,60.0,total,eurostat
LV,2017-10-01,106.0,total,eurostat
MT,2017-10-01,35.0,total,eurostat
NL,2017-10-01,3247.0,total,eurostat
PL,2017-10-01,1723.0,total,eurostat
PT,2017-10-01,494.0,total,eurostat
RO,2017-10-01,954.0,total,eurostat
SE,2017-10-01,63.0,total,eurostat
SI,2017-10-01,71.0,total,eurostat
SK,2017-10-01,394.0,total,eurostat
AT,2017-11-01,1006.0,total,eurostat
BE,2017-11-01,1903.0,total,eurostat
BG,2017-11-01,330.0,total,eurostat
CY,2017-11-01,0.0,total,eurostat
CZ,2017-11-01,959.0,total,eurostat
DE,2017-11-01,10035.0,total,eurostat
DK,2017-11-01,301.0,total,eurostat
EE,2017-11-01,50.0,total,eurostat
ES,2017-11-01,3242.0,total,eurostat
EU27_2020,2017-11-01,42839.0,total,eurostat
FI,2017-11-01,185.0,total,eurostat
FR,2017-11-01,5132.0,total,eurostat
GR,2017-11-01,473.0,total,eurostat
HR,2017-11-01,324.0,total,eurostat
HU,2017-11-01,1167.0,total,eurostat
IE,2017-11-01,495.0,total,eurostat
IT,2017-11-01,7930.0,total,eurostat
LT,2017-11-01,221.0,total,eurostat
LU,2017-11-01,82.0,total,eurostat
LV,2017-11-01,177.0,total,eurostat
MT,2017-11-01,19.0,total,eurostat
NL,2017-11-01,4384.0,total,eurostat
PL,2017-11-01,1993.0,total,eurostat
PT,2017-11-01,496.0,total,eurostat
RO,2017-11-01,1235.0,total,eurostat
SE,2017-11-01,80.0,total,eurostat
SI,2017-11-01,91.0,total,eurostat
SK,2017-11-01,529.0,total,eurostat
AT,2017-12-01,1118.0,total,eurostat
BE,2017-12-01,2195.6,total,eurostat
BG,2017-12-01,365.0,total,eurostat
CY,2017-12-01,0.0,total,eurostat
